age,educ,sex,degree,satjob,satjob2,income4,rincom91,hrs1,wrkstat,jobinc,impjob,bothft,husbft,husbhr,wifeft,wifehr,id,agecat4
39,16,Female,Bachelor,Mod satisfied,Not very satisfied,"40,000 to 59,999",$40000-49999,40,Working fulltime,THIRD,Very important,Yes,yes,40,yes,40,159,30-39
52,17,Male,Bachelor,Mod satisfied,Not very satisfied,"40,000 to 59,999",NAP,46,Working fulltime,NAP,Very important,Yes,yes,46,yes,32,160,50+
44,14,Male,Junior college,Mod satisfied,Not very satisfied,"40,000 to 59,999",$30000-34999,40,Working fulltime,THIRD,Very important,Yes,yes,40,yes,40,161,40-49
35,19,Female,Graduate,Very satisfied,Very satisfied,"60,000 or more",$60000-74999,45,Working fulltime,SECOND,Very important,Yes,yes,18,yes,45,162,30-39
26,13,Male,High school,Mod satisfied,Not very satisfied,"25,000 to 39,999",$25000-29999,52,Working fulltime,SECOND,Somewhat important,No,yes,#NULL!,no,#NULL!,163,18-29
48,12,Female,High school,Very satisfied,Very satisfied,"60,000 or more",$15000-17499,42,Working fulltime,SECOND,One of most important,Yes,yes,47,yes,42,164,40-49
26,12,Male,High school,Very satisfied,Very satisfied,"24,999 or less",$15000-17499,30,Working fulltime,NAP,Very important,Yes,yes,30,yes,40,165,18-29
36,12,Male,High school,A little dissatisfied,Not very satisfied,"40,000 to 59,999",$40000-49999,44,Working fulltime,THIRD,Not too important,No,#NULL!,#NULL!,#NULL!,#NULL!,166,30-39
41,14,Male,High school,Mod satisfied,Not very satisfied,"60,000 or more",REFUSED,53,Working fulltime,SECOND,Very important,Yes,yes,53,yes,45,167,40-49
43,12,Male,High school,Very satisfied,Very satisfied,"25,000 to 39,999",$30000-34999,46,Working fulltime,NAP,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,168,40-49
41,16,Female,Bachelor,Mod satisfied,Not very satisfied,"25,000 to 39,999",$25000-29999,40,Working fulltime,SECOND,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,169,40-49
47,18,Male,Graduate,Very dissatisfied,Not very satisfied,"60,000 or more",$60000-74999,65,Working fulltime,NAP,Somewhat important,No,yes,#NULL!,no,#NULL!,170,40-49
49,13,Male,High school,Mod satisfied,Not very satisfied,"25,000 to 39,999",$35000-39999,40,Working fulltime,NAP,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,171,40-49
58,12,Male,High school,Very satisfied,Very satisfied,"25,000 to 39,999",$35000-39999,55,Working fulltime,NAP,Very important,Yes,yes,55,yes,41,172,50+
19,12,Female,High school,Very satisfied,Very satisfied,"60,000 or more",$7000-7999,40,Working fulltime,NAP,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,173,18-29
35,12,Male,High school,Very satisfied,Very satisfied,"40,000 to 59,999",$17500-19999,49,Working fulltime,MOST IMPT,Very important,Yes,yes,49,yes,40,174,30-39
42,15,Male,Junior college,A little dissatisfied,Not very satisfied,"40,000 to 59,999",$30000-34999,40,Working fulltime,MOST IMPT,Somewhat important,Yes,yes,40,yes,40,175,40-49
54,12,Female,High school,Very satisfied,Very satisfied,"25,000 to 39,999",$30000-34999,40,Working fulltime,FOURTH,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,176,50+
33,16,Female,Bachelor,Very satisfied,Very satisfied,"40,000 to 59,999",$25000-29999,40,Working fulltime,NAP,Very important,Yes,yes,60,yes,40,177,30-39
26,12,Male,High school,Mod satisfied,Not very satisfied,"24,999 or less",$15000-17499,65,Working fulltime,SECOND,Very important,No,yes,65,no,20,178,18-29
42,12,Male,High school,Mod satisfied,Not very satisfied,"60,000 or more",DK,42,Working fulltime,NAP,Very important,No,yes,#NULL!,no,#NULL!,179,40-49
34,17,Male,Bachelor,Very satisfied,Very satisfied,"25,000 to 39,999",$25000-29999,50,Working fulltime,NAP,Very important,No,yes,50,no,7,180,30-39
43,11,Male,Less than HS,Very satisfied,Very satisfied,"60,000 or more",$50000-59999,42,Working fulltime,SECOND,Very important,Yes,yes,42,yes,40,181,40-49
65,14,Male,Junior college,Mod satisfied,Not very satisfied,"60,000 or more",$40000-49999,40,Working fulltime,FOURTH,Very important,Yes,yes,40,yes,50,182,50+
22,15,Female,High school,Mod satisfied,Not very satisfied,"24,999 or less",$4000-4999,30,Working fulltime,NAP,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,183,18-29
41,13,Male,High school,Mod satisfied,Not very satisfied,"25,000 to 39,999",NAP,40,Working fulltime,SECOND,Very important,Yes,yes,40,yes,40,184,40-49
33,12,Male,High school,Mod satisfied,Not very satisfied,"60,000 or more",$30000-34999,50,Working fulltime,NAP,Very important,No,yes,50,no,10,185,30-39
40,12,Male,Less than HS,Mod satisfied,Not very satisfied,"25,000 to 39,999",$25000-29999,55,Working fulltime,NAP,Very important,No,yes,#NULL!,no,#NULL!,186,40-49
25,16,Male,Bachelor,Mod satisfied,Not very satisfied,"25,000 to 39,999",$8000-9999,48,Working fulltime,SECOND,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,187,18-29
51,12,Male,High school,Very satisfied,Very satisfied,"24,999 or less",$15000-17499,55,Working fulltime,THIRD,One of most important,No,yes,55,no,8,188,50+
40,12,Female,High school,Very satisfied,Very satisfied,"40,000 to 59,999",$40000-49999,40,Working fulltime,SECOND,One of most important,No,no,#NULL!,yes,#NULL!,189,40-49
43,10,Male,Less than HS,Very satisfied,Very satisfied,"60,000 or more",$75000+,56,Working fulltime,NAP,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,190,40-49
46,12,Male,High school,Mod satisfied,Not very satisfied,"40,000 to 59,999",$40000-49999,50,Working fulltime,SECOND,One of most important,No,yes,#NULL!,no,#NULL!,191,40-49
37,12,Male,High school,Very satisfied,Very satisfied,"40,000 to 59,999",$50000-59999,60,Working fulltime,MOST IMPT,One of most important,No,yes,60,no,30,192,30-39
52,6,Male,Less than HS,Very satisfied,Very satisfied,"25,000 to 39,999",$30000-34999,45,Working fulltime,NAP,Very important,No,yes,#NULL!,no,#NULL!,193,50+
25,12,Male,High school,Very satisfied,Very satisfied,"24,999 or less",$20000-22499,48,Working fulltime,FOURTH,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,194,18-29
46,12,Male,High school,Very satisfied,Very satisfied,"40,000 to 59,999",$40000-49999,40,Working fulltime,NAP,Very important,No,yes,40,no,20,195,40-49
42,12,Male,High school,Mod satisfied,Not very satisfied,"24,999 or less",NAP,38,Working fulltime,SECOND,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,196,40-49
38,11,Male,High school,Very satisfied,Very satisfied,"24,999 or less",$20000-22499,48,Working fulltime,FIFTH,Somewhat important,No,#NULL!,#NULL!,#NULL!,#NULL!,197,30-39
23,14,Male,High school,A little dissatisfied,Not very satisfied,"24,999 or less",$15000-17499,40,Working fulltime,NAP,One of most important,No,yes,#NULL!,no,#NULL!,198,18-29
59,16,Female,Bachelor,Very satisfied,Very satisfied,"40,000 to 59,999",$30000-34999,40,Working fulltime,NAP,One of most important,Yes,yes,40,yes,40,199,50+
47,13,Male,High school,Mod satisfied,Not very satisfied,"24,999 or less",$17500-19999,56,Working fulltime,MOST IMPT,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,200,40-49
35,11,Male,Less than HS,Very dissatisfied,Not very satisfied,"25,000 to 39,999",$6000-6999,35,Working fulltime,MOST IMPT,Very important,Yes,yes,35,yes,60,201,30-39
44,12,Female,High school,Very satisfied,Very satisfied,"24,999 or less",$22500-24999,40,Working fulltime,SECOND,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,202,40-49
38,14,Female,Junior college,Very satisfied,Very satisfied,"25,000 to 39,999",$20000-22499,40,Working fulltime,THIRD,Very important,Yes,yes,40,yes,40,203,30-39
36,18,Female,Graduate,Very satisfied,Very satisfied,"60,000 or more",$22500-24999,40,Working fulltime,NAP,Very important,Yes,yes,42,yes,40,204,30-39
43,13,Male,High school,Very satisfied,Very satisfied,"40,000 to 59,999",$25000-29999,52,Working fulltime,MOST IMPT,Very important,No,yes,52,no,24,205,40-49
25,12,Male,Less than HS,A little dissatisfied,Not very satisfied,"24,999 or less",NAP,48,Working fulltime,MOST IMPT,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,206,18-29
25,14,Male,High school,A little dissatisfied,Not very satisfied,"25,000 to 39,999",$15000-17499,50,Working fulltime,SECOND,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,207,18-29
73,14,Male,High school,Very satisfied,Very satisfied,"60,000 or more",NAP,50,Working fulltime,NAP,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,208,50+
36,16,Male,Bachelor,Very satisfied,Very satisfied,"60,000 or more",REFUSED,50,Working fulltime,SECOND,Very important,Yes,yes,50,yes,45,209,30-39
35,13,Male,High school,Very satisfied,Very satisfied,"60,000 or more",$75000+,65,Working fulltime,THIRD,One of most important,Yes,yes,65,yes,40,210,30-39
51,13,Female,High school,Very satisfied,Very satisfied,"40,000 to 59,999",$35000-39999,60,Working fulltime,NAP,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,211,50+
58,12,Female,High school,Very satisfied,Very satisfied,"24,999 or less",$10000-12499,40,Working fulltime,NAP,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,212,50+
40,12,Female,High school,Mod satisfied,Not very satisfied,"24,999 or less",$12500-14999,44,Working fulltime,THIRD,Very important,Yes,yes,40,yes,44,213,40-49
52,12,Male,High school,Very satisfied,Very satisfied,"60,000 or more",REFUSED,40,Working fulltime,FOURTH,One of most important,Yes,yes,40,yes,40,214,50+
53,13,Female,High school,Very satisfied,Very satisfied,"60,000 or more",$10000-12499,35,Working fulltime,MOST IMPT,Very important,Yes,yes,60,yes,35,215,50+
38,12,Female,High school,Mod satisfied,Not very satisfied,"25,000 to 39,999",NAP,50,Working fulltime,NAP,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,216,30-39
38,14,Female,Junior college,Mod satisfied,Not very satisfied,"40,000 to 59,999",$40000-49999,40,Working fulltime,NAP,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,217,30-39
58,12,Male,High school,Very satisfied,Very satisfied,"25,000 to 39,999",$15000-17499,40,Working fulltime,NAP,One of most important,Yes,yes,40,yes,40,218,50+
45,13,Female,High school,Mod satisfied,Not very satisfied,"40,000 to 59,999",$15000-17499,45,Working fulltime,SECOND,Somewhat important,Yes,yes,70,yes,45,219,40-49
20,12,Male,High school,Mod satisfied,Not very satisfied,"25,000 to 39,999",$4000-4999,42,Working fulltime,SECOND,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,220,18-29
39,14,Male,Junior college,Very satisfied,Very satisfied,"24,999 or less",$8000-9999,40,Working fulltime,SECOND,Very important,No,yes,#NULL!,no,#NULL!,221,30-39
51,0,Female,Less than HS,Very satisfied,Very satisfied,"24,999 or less",$3000-3999,20,Working fulltime,MOST IMPT,Very important,Yes,yes,40,yes,20,222,50+
78,18,Female,Bachelor,Very satisfied,Very satisfied,"25,000 to 39,999",$30000-34999,40,Working fulltime,NAP,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,223,50+
25,12,Female,High school,A little dissatisfied,Not very satisfied,"25,000 to 39,999",$15000-17499,40,Working fulltime,NA,Very important,Yes,yes,40,yes,40,224,18-29
36,19,Male,Graduate,Mod satisfied,Not very satisfied,"25,000 to 39,999",$35000-39999,42,Working fulltime,MOST IMPT,Very important,Yes,yes,42,yes,40,225,30-39
23,11,Female,Less than HS,Very satisfied,Very satisfied,"60,000 or more",DK,36,Working fulltime,SECOND,Very important,No,no,#NULL!,yes,#NULL!,226,18-29
40,12,Female,High school,Very satisfied,Very satisfied,"40,000 to 59,999",$7000-7999,35,Working fulltime,SECOND,Very important,Yes,yes,50,yes,35,227,40-49
31,12,Female,High school,Mod satisfied,Not very satisfied,"24,999 or less",$17500-19999,47,Working fulltime,NAP,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,228,30-39
51,16,Female,Bachelor,Very satisfied,Very satisfied,"25,000 to 39,999",$8000-9999,40,Working fulltime,NAP,Somewhat important,Yes,yes,60,yes,40,229,50+
37,17,Male,Bachelor,Mod satisfied,Not very satisfied,"24,999 or less",$22500-24999,40,Working fulltime,SECOND,One of most important,No,yes,#NULL!,no,#NULL!,230,30-39
47,16,Male,Bachelor,Very dissatisfied,Not very satisfied,"40,000 to 59,999",$40000-49999,60,Working fulltime,NAP,Somewhat important,Yes,yes,60,yes,40,231,40-49
64,12,Male,High school,Very satisfied,Very satisfied,"25,000 to 39,999",$25000-29999,40,Working fulltime,FOURTH,Very important,No,yes,#NULL!,no,#NULL!,232,50+
27,14,Female,Junior college,Mod satisfied,Not very satisfied,"25,000 to 39,999",$15000-17499,40,Working fulltime,THIRD,One of most important,Yes,yes,55,yes,40,233,18-29
32,20,Female,Bachelor,Mod satisfied,Not very satisfied,"24,999 or less",$15000-17499,60,Working fulltime,SECOND,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,234,30-39
40,20,Male,Graduate,Very satisfied,Very satisfied,"40,000 to 59,999",$50000-59999,48,Working fulltime,NAP,One of most important,No,yes,48,no,25,235,40-49
45,17,Female,Bachelor,Very satisfied,Very satisfied,"40,000 to 59,999",$40000-49999,55,Working fulltime,SECOND,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,236,40-49
26,12,Female,High school,Very satisfied,Very satisfied,"25,000 to 39,999",$25000-29999,40,Working fulltime,NAP,Very important,No,no,20,yes,40,237,18-29
46,20,Female,Graduate,Very satisfied,Very satisfied,"25,000 to 39,999",$30000-34999,60,Working fulltime,THIRD,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,238,40-49
32,18,Female,Graduate,Mod satisfied,Not very satisfied,"24,999 or less",$17500-19999,50,Working fulltime,SECOND,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,239,30-39
36,16,Male,Bachelor,Very satisfied,Very satisfied,"25,000 to 39,999",$30000-34999,36,Working fulltime,MOST IMPT,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,240,30-39
30,14,Female,High school,Very dissatisfied,Not very satisfied,"24,999 or less",$15000-17499,40,Working fulltime,SECOND,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,241,30-39
51,12,Female,High school,Mod satisfied,Not very satisfied,"24,999 or less",$10000-12499,35,Working fulltime,FIFTH,Somewhat important,No,#NULL!,#NULL!,#NULL!,#NULL!,242,50+
40,19,Male,Graduate,Mod satisfied,Not very satisfied,"60,000 or more",$75000+,45,Working fulltime,SECOND,Very important,Yes,yes,45,yes,45,243,40-49
51,16,Male,Bachelor,Very dissatisfied,Not very satisfied,"60,000 or more",$75000+,60,Working fulltime,NAP,Very important,No,yes,60,no,16,244,50+
54,16,Female,Bachelor,Very satisfied,Very satisfied,"40,000 to 59,999",$12500-14999,38,Working fulltime,SECOND,Very important,No,no,#NULL!,yes,#NULL!,245,50+
27,16,Male,Bachelor,Mod satisfied,Not very satisfied,"24,999 or less",$17500-19999,40,Working fulltime,MOST IMPT,Very important,Yes,yes,40,yes,40,246,18-29
63,17,Male,Bachelor,Mod satisfied,Not very satisfied,"60,000 or more",$75000+,45,Working fulltime,SECOND,Very important,No,yes,#NULL!,no,#NULL!,247,50+
43,18,Female,Graduate,Very satisfied,Very satisfied,"25,000 to 39,999",$30000-34999,40,Working fulltime,THIRD,One of most important,No,no,#NULL!,yes,#NULL!,248,40-49
44,14,Female,Junior college,A little dissatisfied,Not very satisfied,"40,000 to 59,999",$35000-39999,45,Working fulltime,THIRD,Somewhat important,No,#NULL!,#NULL!,#NULL!,#NULL!,249,40-49
32,14,Female,High school,Very satisfied,Very satisfied,"60,000 or more",REFUSED,60,Working fulltime,THIRD,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,250,30-39
50,12,Male,High school,Very satisfied,Very satisfied,"40,000 to 59,999",$30000-34999,50,Working fulltime,FIFTH,Very important,No,yes,50,no,35,251,50+
31,14,Female,High school,A little dissatisfied,Not very satisfied,"60,000 or more",$17500-19999,40,Working fulltime,NAP,One of most important,Yes,yes,42,yes,40,252,30-39
29,14,Male,Junior college,Very satisfied,Very satisfied,"40,000 to 59,999",$40000-49999,60,Working fulltime,THIRD,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,253,18-29
30,11,Male,High school,Very satisfied,Very satisfied,"24,999 or less",$15000-17499,45,Working fulltime,NAP,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,254,30-39
34,15,Male,Junior college,Very dissatisfied,Not very satisfied,"40,000 to 59,999",$30000-34999,40,Working fulltime,NA,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,255,30-39
63,12,Female,High school,Mod satisfied,Not very satisfied,"25,000 to 39,999",$22500-24999,36,Working fulltime,MOST IMPT,Very important,No,no,20,yes,36,256,50+
55,13,Female,High school,Very satisfied,Very satisfied,"40,000 to 59,999",$10000-12499,40,Working fulltime,NAP,Very important,Yes,yes,76,yes,40,257,50+
36,13,Male,High school,A little dissatisfied,Not very satisfied,"24,999 or less",$8000-9999,40,Working fulltime,NAP,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,258,30-39
39,12,Male,High school,A little dissatisfied,Not very satisfied,"25,000 to 39,999",$30000-34999,55,Working fulltime,NAP,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,259,30-39
28,19,Female,Bachelor,Mod satisfied,Not very satisfied,"24,999 or less",$5000-5999,39,Working fulltime,THIRD,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,260,18-29
46,14,Female,High school,Mod satisfied,Not very satisfied,"60,000 or more",$30000-34999,45,Working fulltime,THIRD,Very important,Yes,yes,60,yes,45,261,40-49
39,19,Female,Graduate,Very satisfied,Very satisfied,"40,000 to 59,999",$25000-29999,35,Working fulltime,SECOND,One of most important,Yes,yes,40,yes,35,262,30-39
77,14,Female,High school,Very satisfied,Very satisfied,"60,000 or more",REFUSED,40,Working fulltime,NAP,Somewhat important,No,#NULL!,#NULL!,#NULL!,#NULL!,263,50+
49,17,Male,Bachelor,Mod satisfied,Not very satisfied,"60,000 or more",$35000-39999,36,Working fulltime,THIRD,Very important,Yes,yes,36,yes,60,264,40-49
56,18,Female,Graduate,Mod satisfied,Not very satisfied,"60,000 or more",$50000-59999,40,Working fulltime,SECOND,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,265,50+
28,12,Male,High school,Very satisfied,Very satisfied,"40,000 to 59,999",$22500-24999,42,Working fulltime,THIRD,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,266,18-29
24,12,Male,High school,Mod satisfied,Not very satisfied,"24,999 or less",$1000-2999,57,Working fulltime,THIRD,Very important,No,yes,#NULL!,no,#NULL!,267,18-29
37,18,Female,Graduate,Very satisfied,Very satisfied,"60,000 or more",$50000-59999,50,Working fulltime,SECOND,Very important,Yes,yes,60,yes,50,268,30-39
48,12,Female,High school,A little dissatisfied,Not very satisfied,"25,000 to 39,999",$17500-19999,40,Working fulltime,NAP,Somewhat important,No,#NULL!,#NULL!,#NULL!,#NULL!,269,40-49
49,15,Male,Junior college,Mod satisfied,Not very satisfied,"60,000 or more",$22500-24999,25,Working fulltime,NAP,Very important,No,yes,#NULL!,no,#NULL!,270,40-49
36,9,Male,Less than HS,Mod satisfied,Not very satisfied,"25,000 to 39,999",$20000-22499,44,Working fulltime,FIFTH,Somewhat important,No,#NULL!,#NULL!,#NULL!,#NULL!,271,30-39
35,12,Male,High school,Mod satisfied,Not very satisfied,"24,999 or less",$1000-2999,40,Working fulltime,THIRD,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,272,30-39
36,12,Female,High school,Mod satisfied,Not very satisfied,"24,999 or less",$10000-12499,40,Working fulltime,FIFTH,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,273,30-39
37,13,Female,High school,A little dissatisfied,Not very satisfied,"24,999 or less",$8000-9999,40,Working fulltime,THIRD,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,274,30-39
55,14,Male,Junior college,Mod satisfied,Not very satisfied,"25,000 to 39,999",$30000-34999,40,Working fulltime,FOURTH,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,275,50+
39,16,Male,Bachelor,Mod satisfied,Not very satisfied,"40,000 to 59,999",$40000-49999,40,Working fulltime,SECOND,Very important,No,yes,40,no,6,276,30-39
72,12,Male,High school,Very satisfied,Very satisfied,"25,000 to 39,999",$35000-39999,40,Working fulltime,FOURTH,Very important,No,yes,#NULL!,no,#NULL!,277,50+
52,18,Female,Bachelor,A little dissatisfied,Not very satisfied,"40,000 to 59,999",$15000-17499,45,Working fulltime,NAP,Very important,Yes,yes,55,yes,45,278,50+
38,13,Female,High school,Very satisfied,Very satisfied,"40,000 to 59,999",$30000-34999,50,Working fulltime,NAP,Very important,No,no,42,yes,50,279,30-39
52,14,Male,Junior college,Very satisfied,Very satisfied,"60,000 or more",$50000-59999,40,Working fulltime,NAP,One of most important,Yes,yes,40,yes,40,280,50+
43,13,Male,High school,Very satisfied,Very satisfied,"25,000 to 39,999",$17500-19999,65,Working fulltime,NAP,Somewhat important,No,#NULL!,#NULL!,#NULL!,#NULL!,281,40-49
24,12,Male,High school,Mod satisfied,Not very satisfied,"25,000 to 39,999",$15000-17499,42,Working fulltime,NAP,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,282,18-29
56,11,Female,Less than HS,Very satisfied,Very satisfied,"24,999 or less",$15000-17499,44,Working fulltime,FOURTH,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,283,50+
28,14,Female,Junior college,Mod satisfied,Not very satisfied,"25,000 to 39,999",$15000-17499,38,Working fulltime,MOST IMPT,Somewhat important,No,no,#NULL!,yes,#NULL!,284,18-29
40,15,Male,Junior college,Very satisfied,Very satisfied,"40,000 to 59,999",$35000-39999,40,Working fulltime,NAP,Very important,Yes,yes,40,yes,38,285,40-49
24,9,Male,Less than HS,Very satisfied,Very satisfied,"24,999 or less",$15000-17499,37,Working fulltime,MOST IMPT,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,286,18-29
49,9,Male,Less than HS,Mod satisfied,Not very satisfied,"40,000 to 59,999",$22500-24999,45,Working fulltime,MOST IMPT,Very important,Yes,yes,45,yes,40,287,40-49
47,12,Male,High school,Mod satisfied,Not very satisfied,"24,999 or less",$15000-17499,70,Working fulltime,NAP,Very important,No,yes,70,no,20,288,40-49
35,12,Female,High school,Very satisfied,Very satisfied,"40,000 to 59,999",$22500-24999,45,Working fulltime,FOURTH,Very important,Yes,yes,43,yes,45,289,30-39
35,12,Male,High school,Very satisfied,Very satisfied,"25,000 to 39,999",$30000-34999,50,Working fulltime,NAP,Very important,No,yes,50,no,20,290,30-39
20,12,Female,High school,Mod satisfied,Not very satisfied,"60,000 or more",$5000-5999,39,Working fulltime,THIRD,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,291,18-29
37,14,Male,Junior college,A little dissatisfied,Not very satisfied,"60,000 or more",$22500-24999,42,Working fulltime,FOURTH,Very important,Yes,yes,42,yes,60,292,30-39
51,15,Female,High school,Very satisfied,Very satisfied,"25,000 to 39,999",$20000-22499,40,Working fulltime,FOURTH,Somewhat important,Yes,yes,60,yes,40,293,50+
44,16,Male,Bachelor,Mod satisfied,Not very satisfied,"40,000 to 59,999",$15000-17499,60,Working fulltime,NAP,Very important,Yes,yes,60,yes,60,294,40-49
28,16,Male,Bachelor,Mod satisfied,Not very satisfied,"24,999 or less",$22500-24999,40,Working fulltime,MOST IMPT,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,295,18-29
51,13,Male,High school,Very satisfied,Very satisfied,"60,000 or more",REFUSED,52,Working fulltime,THIRD,One of most important,No,yes,52,no,25,296,50+
37,12,Female,High school,Very satisfied,Very satisfied,"25,000 to 39,999",$10000-12499,32,Working fulltime,NAP,Very important,Yes,yes,44,yes,32,297,30-39
40,12,Female,High school,Mod satisfied,Not very satisfied,"24,999 or less",$22500-24999,46,Working fulltime,THIRD,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,298,40-49
47,12,Male,High school,Mod satisfied,Not very satisfied,"40,000 to 59,999",$22500-24999,70,Working fulltime,MOST IMPT,Very important,Yes,yes,70,yes,40,299,40-49
43,14,Male,High school,Very satisfied,Very satisfied,"40,000 to 59,999",$50000-59999,50,Working fulltime,NAP,One of most important,No,yes,#NULL!,no,#NULL!,300,40-49
43,16,Female,Bachelor,Very satisfied,Very satisfied,"25,000 to 39,999",$25000-29999,60,Working fulltime,THIRD,Very important,Yes,yes,50,yes,60,301,40-49
27,13,Male,Junior college,A little dissatisfied,Not very satisfied,"24,999 or less",$8000-9999,70,Working fulltime,MOST IMPT,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,302,18-29
39,16,Male,Bachelor,Very satisfied,Very satisfied,"24,999 or less",$17500-19999,80,Working fulltime,SECOND,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,303,30-39
45,12,Male,High school,Mod satisfied,Not very satisfied,"25,000 to 39,999",$30000-34999,50,Working fulltime,NAP,One of most important,No,yes,50,no,15,304,40-49
35,14,Female,High school,Mod satisfied,Not very satisfied,"60,000 or more",REFUSED,55,Working fulltime,SECOND,Very important,Yes,yes,40,yes,55,305,30-39
65,12,Male,High school,Mod satisfied,Not very satisfied,"25,000 to 39,999",$30000-34999,50,Working fulltime,SECOND,NA,No,yes,50,no,15,306,50+
45,12,Male,High school,Mod satisfied,Not very satisfied,"40,000 to 59,999",$30000-34999,60,Working fulltime,MOST IMPT,Very important,Yes,yes,60,yes,60,307,40-49
46,12,Female,High school,A little dissatisfied,Not very satisfied,"60,000 or more",REFUSED,40,Working fulltime,NAP,Very important,Yes,yes,40,yes,40,308,40-49
47,11,Female,High school,Very satisfied,Very satisfied,"24,999 or less",$3000-3999,36,Working fulltime,MOST IMPT,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,309,40-49
30,12,Male,High school,Very satisfied,Very satisfied,"40,000 to 59,999",NAP,50,Working fulltime,SECOND,Very important,No,yes,50,no,20,310,30-39
39,12,Female,High school,Mod satisfied,Not very satisfied,"40,000 to 59,999",$20000-22499,58,Working fulltime,NAP,Very important,Yes,yes,40,yes,58,311,30-39
52,12,Female,High school,A little dissatisfied,Not very satisfied,"24,999 or less",$12500-14999,38,Working fulltime,THIRD,Very important,Yes,yes,6,yes,38,312,50+
NA,10,Female,Less than HS,Mod satisfied,Not very satisfied,"60,000 or more",REFUSED,40,Working fulltime,MOST IMPT,Somewhat important,No,#NULL!,#NULL!,#NULL!,#NULL!,313,#NULL!
51,12,Female,High school,Mod satisfied,Not very satisfied,"60,000 or more",REFUSED,37,Working fulltime,NAP,Somewhat important,Yes,yes,40,yes,37,314,50+
28,17,Male,Bachelor,Mod satisfied,Not very satisfied,"25,000 to 39,999",$25000-29999,55,Working fulltime,FOURTH,Somewhat important,No,#NULL!,#NULL!,#NULL!,#NULL!,315,18-29
37,12,Female,High school,Very satisfied,Very satisfied,"25,000 to 39,999",$20000-22499,40,Working fulltime,THIRD,Very important,Yes,yes,40,yes,40,316,30-39
55,13,Male,High school,Mod satisfied,Not very satisfied,"40,000 to 59,999",$30000-34999,60,Working fulltime,MOST IMPT,Very important,Yes,yes,60,yes,72,317,50+
46,11,Male,High school,Mod satisfied,Not very satisfied,"24,999 or less",$22500-24999,60,Working fulltime,NA,Very important,No,yes,#NULL!,no,#NULL!,318,40-49
63,9,Male,Less than HS,Very satisfied,Very satisfied,"60,000 or more",$40000-49999,48,Working fulltime,FOURTH,Very important,Yes,yes,48,yes,40,319,50+
21,14,Female,High school,Very satisfied,Very satisfied,"24,999 or less",$5000-5999,40,Working fulltime,SECOND,Very important,Yes,yes,32,yes,40,320,18-29
